tableName,name,type,len,defaultValue,notNull,primaryKey,comment,tableComment
MACHINE_NODE_INFO,id,String,50,,true,true,id,机器节点信息
MACHINE_NODE_INFO,createTimeMillis,Long,,,false,false,数据创建时间,
MACHINE_NODE_INFO,modifyTimeMillis,Long,,,false,false,数据修改时间,
MACHINE_NODE_INFO,modifyUser,String,50,,false,false,修改人,
MACHINE_NODE_INFO,strike,Integer,,0,false,false,逻辑删除{1，删除，0 未删除(默认)},
MACHINE_NODE_INFO,name,String,50,,true,false,机器名称,
MACHINE_NODE_INFO,groupName,String,50,,true,false,分组名称,
MACHINE_NODE_INFO,hostName,String,255,,false,false,机器主机名,
MACHINE_NODE_INFO,hostIpv4s,TEXT,,,false,false,机器所有 IP,
MACHINE_NODE_INFO,osLoadAverage,String,100,,false,false,系统负载,
MACHINE_NODE_INFO,osSystemUptime,Long,,,false,false,系统运行时间（自启动以来的时间）,
MACHINE_NODE_INFO,osVersion,String,255,,false,false,系统版本,
MACHINE_NODE_INFO,osHardwareVersion,String,255,,false,false,硬件版本,
MACHINE_NODE_INFO,osCpuCores,Integer,,,false,false,CPU数,
MACHINE_NODE_INFO,osMoneyTotal,Long,,,false,false,总内存,
MACHINE_NODE_INFO,osFileStoreTotal,Long,,,false,false,硬盘大小,
MACHINE_NODE_INFO,osCpuIdentifierName,String,255,,false,false,CPU 型号,
MACHINE_NODE_INFO,osName,String,50,,false,false,系统名称,
MACHINE_NODE_INFO,status,TINYINT,,,true,false,节点连接状态：0 未连接，1 连接中,
MACHINE_NODE_INFO,statusMsg,TEXT,,,false,false,状态消息,
MACHINE_NODE_INFO,transportMode,TINYINT,,,true,false,传输方式。0 服务器拉取，1 节点机器推送,
MACHINE_NODE_INFO,jpomUrl,String,100,,false,false,节点 url IP:PORT,
MACHINE_NODE_INFO,jpomUsername,String,100,,false,false,节点登录名,
MACHINE_NODE_INFO,jpomPassword,String,100,,false,false,节点密码,
MACHINE_NODE_INFO,jpomProtocol,String,10,,false,false,协议 http https,
MACHINE_NODE_INFO,jpomTimeout,Integer,,,false,false,节点超时时间,
MACHINE_NODE_INFO,jpomHttpProxy,String,200,,false,false,http 代理,
MACHINE_NODE_INFO,jpomHttpProxyType,String,20,,false,false,http 代理类型,
MACHINE_NODE_INFO,jpomVersion,String,50,,false,false,jpom版本号,
MACHINE_NODE_INFO,jpomUptime,Long,,,false,false,jpom运行时间,
MACHINE_NODE_INFO,jpomBuildTime,String,50,,false,false,Jpom 打包时间,
MACHINE_NODE_INFO,jpomProjectCount,Integer,,,false,false,jpom项目数,
MACHINE_NODE_INFO,jpomScriptCount,Integer,,,false,false,jpom脚本数,
MACHINE_NODE_INFO,networkDelay,Integer,,,false,false,网络耗时（延迟）,
MACHINE_NODE_INFO,javaVersion,String,50,,false,false,java版本,
MACHINE_NODE_INFO,jvmTotalMemory,Long,,,false,false,jvm 总内存,
MACHINE_NODE_INFO,jvmFreeMemory,Long,,,false,false,jvm 剩余内存,
MACHINE_NODE_INFO,osOccupyCpu,Double,,,false,false,占用cpu,
MACHINE_NODE_INFO,osOccupyMemory,Double,,,false,false,占用内存,
MACHINE_NODE_INFO,osOccupyDisk,Double,,,false,false,占用磁盘,
MACHINE_NODE_STAT_LOG,id,String,50,,true,true,id,资产机器节点统计
MACHINE_NODE_STAT_LOG,createTimeMillis,Long,,,false,false,数据创建时间,
MACHINE_NODE_STAT_LOG,modifyTimeMillis,Long,,,false,false,数据修改时间,
MACHINE_NODE_STAT_LOG,machineId,String,50,,true,true,机器id,
MACHINE_NODE_STAT_LOG,occupyCpu,Double,,,false,false,占用cpu,
MACHINE_NODE_STAT_LOG,occupyMemory,Double,,,false,false,占用内存,
MACHINE_NODE_STAT_LOG,occupyDisk,Double,,,false,false,占用磁盘,
MACHINE_NODE_STAT_LOG,networkDelay,Integer,,0,false,false,网络耗时,
MACHINE_NODE_STAT_LOG,monitorTime,Long,,,true,false,监控的时间,
MACHINE_NODE_STAT_LOG,netTxBytes,Long,,,false,false,"每秒发送的KB数,rxkB/s",
MACHINE_NODE_STAT_LOG,netRxBytes,Long,,,false,false,"每秒接收的KB数,rxkB/s",
