tableName,name,type,len,defaultValue,notNull,primaryKey,comment,tableComment
SCRIPT_INFO,id,String,50,,true,true,id,节点脚本模版
SCRIPT_INFO,createTimeMillis,Long,,,false,false,数据创建时间,
SCRIPT_INFO,modifyTimeMillis,Long,,,false,false,数据修改时间,
SCRIPT_INFO,modifyUser,String,50,,false,false,修改人,
SCRIPT_INFO,workspaceId,String,50,,true,false,所属工作空间,
SCRIPT_INFO,nodeId,String,50,,true,false,节点ID,
SCRIPT_INFO,scriptId,String,50,,true,false,脚本ID,
SCRIPT_INFO,name,String,50,,true,false,名称,
SCRIPT_INFO,lastRunUser,String,50,,false,false,最后执行人,
SCRIPT_INFO,autoExecCron,String,100,,false,false,自动执行表达式,
SCRIPT_INFO,defArgs,TEXT,,,false,false,默认参数,
SCRIPT_INFO,description,String,255,,false,false,描述,
SCRIPT_INFO,scriptType,String,100,,false,false,脚本类型,
SCRIPT_INFO,triggerToken,String,200,,false,false,触发器token,
SSH_INFO,id,String,50,,true,true,id,ssh信息表
SSH_INFO,createTimeMillis,Long,,,false,false,数据创建时间,
SSH_INFO,modifyTimeMillis,Long,,,false,false,数据修改时间,
SSH_INFO,modifyUser,String,50,,false,false,修改人,
SSH_INFO,workspaceId,String,50,,true,false,所属工作空间,
SSH_INFO,name,String,50,,false,false,名称,
SSH_INFO,host,String,100,,true,false,ssh host IP,
SSH_INFO,port,Integer,,,true,false,端口,
SSH_INFO,user,String,100,,true,false,用户,
SSH_INFO,password,String,100,,false,false,密码,
SSH_INFO,charset,String,100,,false,false,编码格式,
SSH_INFO,fileDirs,TEXT,,,false,false,文件目录,
SSH_INFO,privateKey,TEXT,,,false,false,私钥,
SSH_INFO,connectType,String,10,,false,false,连接方式,
SSH_INFO,notAllowedCommand,TEXT,,,false,false,不允许执行的命令,
SSH_INFO,allowEditSuffix,TEXT,,,false,false,允许编辑的后缀文件,
SSH_INFO,timeout,Integer,,0,false,false,节点超时时间,
SSHTERMINALEXECUTELOG,id,String,50,,true,true,id,ssh 终端操作记录表
SSHTERMINALEXECUTELOG,ip,String,80,,false,false,客户端IP地址,
SSHTERMINALEXECUTELOG,userId,String,30,,false,false,操作的用户ID,
SSHTERMINALEXECUTELOG,userAgent,TEXT,,,false,false,浏览器标识,
SSHTERMINALEXECUTELOG,commands,TEXT,,,false,false,操作的命令,
SSHTERMINALEXECUTELOG,sshId,String,50,,false,false,操作的sshid,
SSHTERMINALEXECUTELOG,sshName,String,50,,false,false,操作的ssh name,
SSHTERMINALEXECUTELOG,refuse,Integer,,,false,false,拒绝执行,
SSHTERMINALEXECUTELOG,createTimeMillis,Long,,,false,false,数据创建时间,
SSHTERMINALEXECUTELOG,modifyTimeMillis,Long,,,false,false,数据修改时间,
SSHTERMINALEXECUTELOG,workspaceId,String,50,,false,false,所属工作空间,
SSHTERMINALEXECUTELOG,modifyUser,String,50,,false,false,操作人,
TRIGGER_TOKEN_LOG,id,String,50,,true,true,id,触发器 token
TRIGGER_TOKEN_LOG,createTimeMillis,Long,,,false,false,数据创建时间,
TRIGGER_TOKEN_LOG,modifyTimeMillis,Long,,,false,false,数据修改时间,
TRIGGER_TOKEN_LOG,triggerToken,String,100,,true,false,triggerToken,
TRIGGER_TOKEN_LOG,type,String,50,,true,false,token 类型,
TRIGGER_TOKEN_LOG,dataId,String,50,,true,false,关联数据ID,
TRIGGER_TOKEN_LOG,userId,String,50,,true,false,用户ID,
OUTGIVINGLOG,id,String,50,,true,true,id,分发日志
OUTGIVINGLOG,outGivingId,String,50,,false,false,分发id,
OUTGIVINGLOG,status,TINYINT,,,false,false,状态,
OUTGIVINGLOG,startTime,Long,,,false,false,开始时间,
OUTGIVINGLOG,endTime,Long,,,false,false,结束时间,
OUTGIVINGLOG,result,TEXT,,,false,false,消息,
OUTGIVINGLOG,nodeId,String,100,,false,false,节点id,
